CensusArea,Age,Population
0801907009,50-54,69
0801907009,55-59,77
0801907009,60-64,80
0801907009,65-69,50
0801907009,70-74,43
0801907009,75-79,48
0801907009,80-84,36
0801907009,85-89,44
0801907009,90-94,23
0801907009,95-99,3
0801907009,100,0
0801907010,0-4,33
0801907010,5-9,46
0801907010,10-14,51
0801907010,15-19,39
0801907010,20-24,80
0801907010,25-29,117
0801907010,30-34,111
0801907010,35-39,73
0801907010,40-44,74
0801907010,45-49,90
0801907010,50-54,98
0801907010,55-59,90
0801907010,60-64,93
0801907010,65-69,80
0801907010,70-74,52
0801907010,75-79,45
0801907010,80-84,29
0801907010,85-89,30
0801907010,90-94,19
0801907010,95-99,7
0801907010,100,2
0801907011,0-4,29
0801907011,5-9,23
0801907011,10-14,33
0801907011,15-19,32
0801907011,20-24,67
0801907011,25-29,101
0801907011,30-34,133
0801907011,35-39,126
0801907011,40-44,89
0801907011,45-49,75
0801907011,50-54,70
0801907011,55-59,76
0801907011,60-64,44
0801907011,65-69,66
0801907011,70-74,65
0801907011,75-79,55
0801907011,80-84,40
0801907011,85-89,23
0801907011,90-94,12
0801907011,95-99,4
0801907011,100,0
0801907012,0-4,63
0801907012,5-9,80
0801907012,10-14,52
0801907012,15-19,44
0801907012,20-24,60
0801907012,25-29,94
0801907012,30-34,118
0801907012,35-39,146
0801907012,40-44,145
0801907012,45-49,116
0801907012,50-54,92
0801907012,55-59,88
0801907012,60-64,88
0801907012,65-69,86
0801907012,70-74,89
0801907012,75-79,81
0801907012,80-84,49
0801907012,85-89,31
0801907012,90-94,14
0801907012,95-99,6
0801907012,100,0
0801907013,0-4,30
0801907013,5-9,35
0801907013,10-14,36
0801907013,15-19,37
0801907013,20-24,52
0801907013,25-29,84
0801907013,30-34,83
0801907013,35-39,77
0801907013,40-44,71
0801907013,45-49,58
0801907013,50-54,88
0801907013,55-59,90
0801907013,60-64,117
0801907013,65-69,120
0801907013,70-74,67
0801907013,75-79,76
0801907013,80-84,41
0801907013,85-89,32
0801907013,90-94,18
0801907013,95-99,5
0801907013,100,0
0801907014,0-4,24
0801907014,5-9,24
0801907014,10-14,31
0801907014,15-19,25
0801907014,20-24,44
0801907014,25-29,50
0801907014,30-34,89
0801907014,35-39,62
0801907014,40-44,52
0801907014,45-49,72
0801907014,50-54,58
0801907014,55-59,62
0801907014,60-64,51
0801907014,65-69,48
0801907014,70-74,36
0801907014,75-79,28
0801907014,80-84,26
0801907014,85-89,42
0801907014,90-94,23
0801907014,95-99,6
0801907014,100,0
0801907015,0-4,49
0801907015,5-9,50
0801907015,10-14,66
0801907015,15-19,57
0801907015,20-24,55
0801907015,25-29,97
0801907015,30-34,84
0801907015,35-39,110
0801907015,40-44,96
0801907015,45-49,80
0801907015,50-54,101
0801907015,55-59,98
0801907015,60-64,89
0801907015,65-69,82
0801907015,70-74,71
0801907015,75-79,70
0801907015,80-84,58
0801907015,85-89,42
0801907015,90-94,18
0801907015,95-99,5
0801907015,100,1
0801907016,0-4,42
0801907016,5-9,58
0801907016,10-14,43
0801907016,15-19,63
0801907016,20-24,68
0801907016,25-29,92
0801907016,30-34,77
0801907016,35-39,95
0801907016,40-44,94
0801907016,45-49,91
0801907016,50-54,91
0801907016,55-59,85
0801907016,60-64,108
0801907016,65-69,80
0801907016,70-74,86
0801907016,75-79,76
0801907016,80-84,40
0801907016,85-89,42
0801907016,90-94,17
0801907016,95-99,4
0801907016,100,0
0801907017,0-4,86
0801907017,5-9,71
0801907017,10-14,72
0801907017,15-19,83
0801907017,20-24,89
0801907017,25-29,117
0801907017,30-34,136
0801907017,35-39,129
0801907017,40-44,152
0801907017,45-49,128
0801907017,50-54,133
0801907017,55-59,134
0801907017,60-64,93
0801907017,65-69,89
0801907017,70-74,59
0801907017,75-79,54
0801907017,80-84,51
0801907017,85-89,58
0801907017,90-94,30
0801907017,95-99,16
0801907017,100,2
0801907018,0-4,55
0801907018,5-9,75
0801907018,10-14,71
0801907018,15-19,71
0801907018,20-24,85
0801907018,25-29,115
0801907018,30-34,132
0801907018,35-39,134
0801907018,40-44,125
0801907018,45-49,155
0801907018,50-54,110
0801907018,55-59,114
0801907018,60-64,97
0801907018,65-69,83
0801907018,70-74,71
0801907018,75-79,55
0801907018,80-84,34
0801907018,85-89,53
0801907018,90-94,37
0801907018,95-99,6
0801907018,100,1
0801907019,0-4,59
0801907019,5-9,66
0801907019,10-14,57
0801907019,15-19,69
0801907019,20-24,62
0801907019,25-29,122
0801907019,30-34,107
0801907019,35-39,111
0801907019,40-44,128
0801907019,45-49,116
0801907019,50-54,112
0801907019,55-59,87
0801907019,60-64,101
0801907019,65-69,70
0801907019,70-74,82
0801907019,75-79,68
0801907019,80-84,54
0801907019,85-89,48
0801907019,90-94,22
0801907019,95-99,7
0801907019,100,1
0801907020,0-4,69
0801907020,5-9,73
0801907020,10-14,79
0801907020,15-19,86
0801907020,20-24,91
0801907020,25-29,116
0801907020,30-34,166
0801907020,35-39,123
0801907020,40-44,144
0801907020,45-49,139
0801907020,50-54,120
0801907020,55-59,104
0801907020,60-64,93
0801907020,65-69,67
0801907020,70-74,73
0801907020,75-79,85
0801907020,80-84,51
0801907020,85-89,34
0801907020,90-94,20
0801907020,95-99,4
0801907020,100,2
0801907021,0-4,33
0801907021,5-9,47
0801907021,10-14,56
0801907021,15-19,42
0801907021,20-24,53
0801907021,25-29,58
0801907021,30-34,67
0801907021,35-39,84
0801907021,40-44,82
0801907021,45-49,78
0801907021,50-54,58
0801907021,55-59,72
0801907021,60-64,76
0801907021,65-69,86
0801907021,70-74,94
0801907021,75-79,48
0801907021,80-84,25
0801907021,85-89,21
0801907021,90-94,8
0801907021,95-99,3
0801907021,100,0
0801907022,0-4,36
0801907022,5-9,41
0801907022,10-14,49
0801907022,15-19,58
0801907022,20-24,59
0801907022,25-29,51
0801907022,30-34,79
0801907022,35-39,74
0801907022,40-44,89
0801907022,45-49,99
0801907022,50-54,74
0801907022,55-59,92
0801907022,60-64,73
0801907022,65-69,69
0801907022,70-74,68
0801907022,75-79,56
0801907022,80-84,31
0801907022,85-89,31
0801907022,90-94,10
0801907022,95-99,6
0801907022,100,0
0801907023,0-4,29
0801907023,5-9,52
0801907023,10-14,57
0801907023,15-19,59
0801907023,20-24,50
0801907023,25-29,106
0801907023,30-34,88
0801907023,35-39,98
0801907023,40-44,114
0801907023,45-49,108
0801907023,50-54,105
0801907023,55-59,91
0801907023,60-64,80
0801907023,65-69,59
0801907023,70-74,49
0801907023,75-79,55
0801907023,80-84,37
0801907023,85-89,26
0801907023,90-94,8
0801907023,95-99,5
0801907023,100,0
0801907024,0-4,63
0801907024,5-9,63
0801907024,10-14,65
0801907024,15-19,49
0801907024,20-24,90
0801907024,25-29,107
0801907024,30-34,109
0801907024,35-39,121
0801907024,40-44,113
0801907024,45-49,111
0801907024,50-54,113
0801907024,55-59,102
0801907024,60-64,95
0801907024,65-69,76
0801907024,70-74,69
0801907024,75-79,66
0801907024,80-84,38
0801907024,85-89,40
0801907024,90-94,16
0801907024,95-99,4
0801907024,100,1
0801907025,0-4,54
0801907025,5-9,59
0801907025,10-14,68
0801907025,15-19,63
0801907025,20-24,79
0801907025,25-29,91
0801907025,30-34,168
0801907025,35-39,109
0801907025,40-44,138
0801907025,45-49,109
0801907025,50-54,99
0801907025,55-59,106
0801907025,60-64,88
0801907025,65-69,82
0801907025,70-74,52
0801907025,75-79,55
0801907025,80-84,29
0801907025,85-89,40
0801907025,90-94,15
0801907025,95-99,3
0801907025,100,1
0801907026,0-4,52
0801907026,5-9,40
0801907026,10-14,46
0801907026,15-19,41
0801907026,20-24,32
0801907026,25-29,44
0801907026,30-34,91
0801907026,35-39,83
0801907026,40-44,93
0801907026,45-49,80
0801907026,50-54,72
0801907026,55-59,70
0801907026,60-64,67
0801907026,65-69,48
0801907026,70-74,50
0801907026,75-79,76
0801907026,80-84,61
0801907026,85-89,34
0801907026,90-94,19
0801907026,95-99,4
0801907026,100,1
0801907027,0-4,104
0801907027,5-9,114
0801907027,10-14,122
0801907027,15-19,108
0801907027,20-24,123
0801907027,25-29,135
0801907027,30-34,117
0801907027,35-39,141
0801907027,40-44,192
0801907027,45-49,166
0801907027,50-54,132
0801907027,55-59,170
0801907027,60-64,112
0801907027,65-69,80
0801907027,70-74,74
0801907027,75-79,73
0801907027,80-84,66
0801907027,85-89,55
0801907027,90-94,29
0801907027,95-99,8
0801907027,100,1
0801907028,0-4,52
0801907028,5-9,70
0801907028,10-14,73
0801907028,15-19,67
0801907028,20-24,67
0801907028,25-29,101
0801907028,30-34,119
0801907028,35-39,123
0801907028,40-44,134
0801907028,45-49,120
0801907028,50-54,102
0801907028,55-59,109
0801907028,60-64,107
0801907028,65-69,72
0801907028,70-74,51
0801907028,75-79,48
0801907028,80-84,33
0801907028,85-89,24
0801907028,90-94,10
0801907028,95-99,2
0801907028,100,0
0801907029,0-4,46
0801907029,5-9,54
0801907029,10-14,43
0801907029,15-19,54
0801907029,20-24,73
0801907029,25-29,95
0801907029,30-34,114
0801907029,35-39,108
0801907029,40-44,86
0801907029,45-49,98
0801907029,50-54,87
0801907029,55-59,92
0801907029,60-64,58
0801907029,65-69,67
0801907029,70-74,75
0801907029,75-79,83
0801907029,80-84,44
0801907029,85-89,41
0801907029,90-94,21
0801907029,95-99,2
0801907029,100,1
0801907030,0-4,43
0801907030,5-9,64
0801907030,10-14,82
0801907030,15-19,68
0801907030,20-24,62
0801907030,25-29,99
0801907030,30-34,114
0801907030,35-39,104
0801907030,40-44,126
0801907030,45-49,114
0801907030,50-54,95
0801907030,55-59,84
0801907030,60-64,65
0801907030,65-69,77
0801907030,70-74,76
0801907030,75-79,58
0801907030,80-84,47
0801907030,85-89,34
0801907030,90-94,25
0801907030,95-99,2
0801907030,100,1
0801907031,0-4,75
0801907031,5-9,62
0801907031,10-14,64
0801907031,15-19,75
0801907031,20-24,79
0801907031,25-29,101
0801907031,30-34,129
0801907031,35-39,131
0801907031,40-44,144
0801907031,45-49,143
0801907031,50-54,107
0801907031,55-59,107
0801907031,60-64,91
0801907031,65-69,69
0801907031,70-74,67
0801907031,75-79,54
0801907031,80-84,46
0801907031,85-89,29
0801907031,90-94,18
0801907031,95-99,4
0801907031,100,1
0801907032,0-4,48
0801907032,5-9,68
0801907032,10-14,45
0801907032,15-19,61
0801907032,20-24,86
0801907032,25-29,118
0801907032,30-34,115
0801907032,35-39,108
0801907032,40-44,124
0801907032,45-49,122
0801907032,50-54,92
0801907032,55-59,87
0801907032,60-64,81
0801907032,65-69,86
0801907032,70-74,61
0801907032,75-79,63
0801907032,80-84,37
0801907032,85-89,38
0801907032,90-94,15
0801907032,95-99,4
0801907032,100,0
0801907033,0-4,47
0801907033,5-9,46
0801907033,10-14,64
0801907033,15-19,67
0801907033,20-24,75
0801907033,25-29,83
0801907033,30-34,121
0801907033,35-39,104
0801907033,40-44,125
0801907033,45-49,121
0801907033,50-54,118
0801907033,55-59,88
0801907033,60-64,107
0801907033,65-69,74
0801907033,70-74,70
0801907033,75-79,88
0801907033,80-84,34
0801907033,85-89,47
0801907033,90-94,18
0801907033,95-99,6
0801907033,100,0
0801907034,0-4,61
0801907034,5-9,85
0801907034,10-14,93
0801907034,15-19,94
0801907034,20-24,83
0801907034,25-29,107
0801907034,30-34,103
0801907034,35-39,143
0801907034,40-44,120
0801907034,45-49,190
0801907034,50-54,136
0801907034,55-59,136
0801907034,60-64,102
0801907034,65-69,84
0801907034,70-74,95
0801907034,75-79,62
0801907034,80-84,49
0801907034,85-89,38
0801907034,90-94,13
0801907034,95-99,8
0801907034,100,0
0801907035,0-4,49
0801907035,5-9,75
0801907035,10-14,73
0801907035,15-19,75
0801907035,20-24,93
0801907035,25-29,119
0801907035,30-34,113
0801907035,35-39,108
0801907035,40-44,119
0801907035,45-49,141
0801907035,50-54,132
0801907035,55-59,104
0801907035,60-64,107
0801907035,65-69,122
0801907035,70-74,93
0801907035,75-79,88
0801907035,80-84,45
0801907035,85-89,50
0801907035,90-94,14
0801907035,95-99,5
0801907035,100,1
0801907036,0-4,60
0801907036,5-9,51
0801907036,10-14,49
0801907036,15-19,63
0801907036,20-24,64
0801907036,25-29,88
0801907036,30-34,120
0801907036,35-39,98
0801907036,40-44,110
0801907036,45-49,97
0801907036,50-54,117
0801907036,55-59,101
0801907036,60-64,87
0801907036,65-69,98
0801907036,70-74,83
0801907036,75-79,60
0801907036,80-84,47
0801907036,85-89,35
0801907036,90-94,21
0801907036,95-99,3
0801907036,100,2
0801907037,0-4,43
0801907037,5-9,54
0801907037,10-14,49
0801907037,15-19,75
0801907037,20-24,81
0801907037,25-29,103
0801907037,30-34,103
0801907037,35-39,92
0801907037,40-44,118
0801907037,45-49,131
0801907037,50-54,118
0801907037,55-59,105
0801907037,60-64,90
0801907037,65-69,96
0801907037,70-74,79
0801907037,75-79,64
0801907037,80-84,47
0801907037,85-89,39
0801907037,90-94,24
0801907037,95-99,7
0801907037,100,1
0801907038,0-4,37
0801907038,5-9,51
0801907038,10-14,37
0801907038,15-19,57
0801907038,20-24,80
0801907038,25-29,95
0801907038,30-34,62
0801907038,35-39,80
0801907038,40-44,94
0801907038,45-49,97
0801907038,50-54,97
0801907038,55-59,73
0801907038,60-64,87
0801907038,65-69,57
0801907038,70-74,93
0801907038,75-79,88
0801907038,80-84,53
0801907038,85-89,29
0801907038,90-94,14
0801907038,95-99,2
0801907038,100,0
0801907039,0-4,47
0801907039,5-9,41
0801907039,10-14,55
0801907039,15-19,72
0801907039,20-24,90
0801907039,25-29,141
0801907039,30-34,149
0801907039,35-39,117
0801907039,40-44,103
0801907039,45-49,118
0801907039,50-54,130
0801907039,55-59,125
0801907039,60-64,98
0801907039,65-69,111
0801907039,70-74,68
0801907039,75-79,50
0801907039,80-84,24
0801907039,85-89,41
0801907039,90-94,16
0801907039,95-99,7
0801907039,100,0
0801907040,0-4,57
0801907040,5-9,55
0801907040,10-14,48
0801907040,15-19,46
0801907040,20-24,77
0801907040,25-29,89
0801907040,30-34,151
0801907040,35-39,131
0801907040,40-44,132
0801907040,45-49,104
0801907040,50-54,110
0801907040,55-59,100
0801907040,60-64,80
0801907040,65-69,56
0801907040,70-74,55
0801907040,75-79,62
0801907040,80-84,41
0801907040,85-89,48
0801907040,90-94,21
0801907040,95-99,2
0801907040,100,0
0801907041,0-4,44
0801907041,5-9,55
0801907041,10-14,58
0801907041,15-19,46
0801907041,20-24,71
0801907041,25-29,113
0801907041,30-34,133
0801907041,35-39,125
0801907041,40-44,112
0801907041,45-49,123
0801907041,50-54,97
0801907041,55-59,75
0801907041,60-64,81
0801907041,65-69,65
0801907041,70-74,67
0801907041,75-79,42
0801907041,80-84,26
0801907041,85-89,26
0801907041,90-94,19
0801907041,95-99,4
0801907041,100,1
0801907042,0-4,61
0801907042,5-9,66
0801907042,10-14,51
0801907042,15-19,47
0801907042,20-24,53
0801907042,25-29,109
0801907042,30-34,139
0801907042,35-39,147
0801907042,40-44,140
0801907042,45-49,132
0801907042,50-54,98
0801907042,55-59,104
0801907042,60-64,85
0801907042,65-69,94
0801907042,70-74,80
0801907042,75-79,59
0801907042,80-84,43
0801907042,85-89,44
0801907042,90-94,27
0801907042,95-99,13
0801907042,100,0
0801907043,0-4,44
0801907043,5-9,57
0801907043,10-14,69
0801907043,15-19,79
0801907043,20-24,67
0801907043,25-29,88
0801907043,30-34,124
0801907043,35-39,109
0801907043,40-44,120
0801907043,45-49,115
0801907043,50-54,103
0801907043,55-59,101
0801907043,60-64,83
0801907043,65-69,80
0801907043,70-74,57
0801907043,75-79,68
0801907043,80-84,44
0801907043,85-89,35
0801907043,90-94,23
0801907043,95-99,2
0801907043,100,0
0801907044,0-4,28
0801907044,5-9,42
0801907044,10-14,34
0801907044,15-19,50
0801907044,20-24,59
0801907044,25-29,74
0801907044,30-34,82
0801907044,35-39,81
0801907044,40-44,87
0801907044,45-49,92
0801907044,50-54,93
0801907044,55-59,94
0801907044,60-64,87
0801907044,65-69,89
0801907044,70-74,67
0801907044,75-79,78
0801907044,80-84,59
0801907044,85-89,46
0801907044,90-94,32
0801907044,95-99,11
0801907044,100,4
0801907045,0-4,70
0801907045,5-9,66
0801907045,10-14,74
0801907045,15-19,66
0801907045,20-24,88
0801907045,25-29,101
0801907045,30-34,109
0801907045,35-39,130
0801907045,40-44,122
0801907045,45-49,117
0801907045,50-54,124
0801907045,55-59,117
0801907045,60-64,98
0801907045,65-69,54
0801907045,70-74,68
0801907045,75-79,76
0801907045,80-84,57
0801907045,85-89,42
0801907045,90-94,24
0801907045,95-99,5
0801907045,100,0
0801907046,0-4,42
0801907046,5-9,50
0801907046,10-14,63
0801907046,15-19,46
0801907046,20-24,69
0801907046,25-29,78
0801907046,30-34,92
0801907046,35-39,96
0801907046,40-44,101
0801907046,45-49,112
0801907046,50-54,85
0801907046,55-59,84
0801907046,60-64,51
0801907046,65-69,75
0801907046,70-74,93
0801907046,75-79,76
0801907046,80-84,59
0801907046,85-89,48
0801907046,90-94,23
0801907046,95-99,7
0801907046,100,1
0801907047,0-4,59
0801907047,5-9,58
0801907047,10-14,58
0801907047,15-19,53
0801907047,20-24,70
0801907047,25-29,93
0801907047,30-34,112
0801907047,35-39,120
0801907047,40-44,101
0801907047,45-49,125
0801907047,50-54,130
0801907047,55-59,106
0801907047,60-64,99
0801907047,65-69,89
0801907047,70-74,66
0801907047,75-79,64
0801907047,80-84,51
0801907047,85-89,27
0801907047,90-94,18
0801907047,95-99,5
0801907047,100,0
0801907048,0-4,50
0801907048,5-9,46
0801907048,10-14,53
0801907048,15-19,61
0801907048,20-24,62
0801907048,25-29,90
0801907048,30-34,95
0801907048,35-39,73
0801907048,40-44,94
0801907048,45-49,95
0801907048,50-54,91
0801907048,55-59,102
0801907048,60-64,81
0801907048,65-69,66
0801907048,70-74,49
0801907048,75-79,63
0801907048,80-84,54
0801907048,85-89,44
0801907048,90-94,29
0801907048,95-99,5
0801907048,100,1
0801907049,0-4,35
0801907049,5-9,36
0801907049,10-14,42
0801907049,15-19,49
0801907049,20-24,56
0801907049,25-29,67
0801907049,30-34,81
0801907049,35-39,78
0801907049,40-44,83
0801907049,45-49,92
0801907049,50-54,71
0801907049,55-59,100
0801907049,60-64,80
0801907049,65-69,78
0801907049,70-74,65
0801907049,75-79,76
0801907049,80-84,51
0801907049,85-89,39
0801907049,90-94,18
0801907049,95-99,2
0801907049,100,0
0801907050,0-4,45
0801907050,5-9,56
0801907050,10-14,47
0801907050,15-19,41
0801907050,20-24,70
0801907050,25-29,71
0801907050,30-34,120
0801907050,35-39,90
0801907050,40-44,107
0801907050,45-49,77
0801907050,50-54,83
0801907050,55-59,95
0801907050,60-64,77
0801907050,65-69,56
0801907050,70-74,47
0801907050,75-79,37
0801907050,80-84,34
0801907050,85-89,32
0801907050,90-94,15
0801907050,95-99,5
0801907050,100,0
0801907051,0-4,77
0801907051,5-9,85
0801907051,10-14,77
0801907051,15-19,73
0801907051,20-24,102
0801907051,25-29,136
0801907051,30-34,136
0801907051,35-39,132
0801907051,40-44,153
0801907051,45-49,141
0801907051,50-54,146
0801907051,55-59,114
0801907051,60-64,102
0801907051,65-69,71
0801907051,70-74,62
0801907051,75-79,71
0801907051,80-84,55
0801907051,85-89,44
0801907051,90-94,23
0801907051,95-99,6
0801907051,100,1
0801907052,0-4,57
0801907052,5-9,68
0801907052,10-14,66
0801907052,15-19,58
0801907052,20-24,49
0801907052,25-29,57
0801907052,30-34,60
0801907052,35-39,78
0801907052,40-44,107
0801907052,45-49,112
0801907052,50-54,85
0801907052,55-59,83
0801907052,60-64,67
0801907052,65-69,66
0801907052,70-74,66
0801907052,75-79,80
0801907052,80-84,53
0801907052,85-89,49
0801907052,90-94,25
0801907052,95-99,14
0801907052,100,1
0801907053,0-4,48
0801907053,5-9,55
0801907053,10-14,64
0801907053,15-19,83
0801907053,20-24,55
0801907053,25-29,68
0801907053,30-34,79
0801907053,35-39,100
0801907053,40-44,102
0801907053,45-49,134
0801907053,50-54,115
0801907053,55-59,95
0801907053,60-64,99
0801907053,65-69,80
0801907053,70-74,88
0801907053,75-79,87
0801907053,80-84,48
0801907053,85-89,38
0801907053,90-94,12
0801907053,95-99,2
0801907053,100,2
0801907054,0-4,51
0801907054,5-9,86
0801907054,10-14,109
0801907054,15-19,73
0801907054,20-24,88
0801907054,25-29,82
0801907054,30-34,76
0801907054,35-39,106
0801907054,40-44,109
0801907054,45-49,126
0801907054,50-54,140
0801907054,55-59,123
0801907054,60-64,112
0801907054,65-69,84
0801907054,70-74,93
0801907054,75-79,93
0801907054,80-84,49
0801907054,85-89,39
0801907054,90-94,19
0801907054,95-99,8
0801907054,100,0
0801907055,0-4,47
0801907055,5-9,38
0801907055,10-14,61
0801907055,15-19,74
0801907055,20-24,71
0801907055,25-29,57
0801907055,30-34,49
0801907055,35-39,58
0801907055,40-44,76
0801907055,45-49,102
0801907055,50-54,86
0801907055,55-59,71
0801907055,60-64,82
0801907055,65-69,72
0801907055,70-74,82
0801907055,75-79,73
0801907055,80-84,47
0801907055,85-89,47
0801907055,90-94,19
0801907055,95-99,4
0801907055,100,0
0801907056,0-4,41
0801907056,5-9,50
0801907056,10-14,55
0801907056,15-19,61
0801907056,20-24,67
0801907056,25-29,58
0801907056,30-34,55
0801907056,35-39,94
0801907056,40-44,88
0801907056,45-49,116
0801907056,50-54,78
0801907056,55-59,94
0801907056,60-64,80
0801907056,65-69,68
0801907056,70-74,75
0801907056,75-79,48
0801907056,80-84,39
0801907056,85-89,25
0801907056,90-94,17
0801907056,95-99,8
0801907056,100,1
0801907057,0-4,55
0801907057,5-9,56
0801907057,10-14,71
0801907057,15-19,80
0801907057,20-24,84
0801907057,25-29,79
0801907057,30-34,79
0801907057,35-39,97
0801907057,40-44,105
0801907057,45-49,128
0801907057,50-54,103
0801907057,55-59,101
0801907057,60-64,103
0801907057,65-69,96
0801907057,70-74,85
0801907057,75-79,61
0801907057,80-84,48
0801907057,85-89,30
0801907057,90-94,13
0801907057,95-99,1
0801907057,100,1
0801907058,0-4,37
0801907058,5-9,55
0801907058,10-14,69
0801907058,15-19,68
0801907058,20-24,61
0801907058,25-29,67
0801907058,30-34,70
0801907058,35-39,84
0801907058,40-44,89
0801907058,45-49,114
0801907058,50-54,88
0801907058,55-59,112
0801907058,60-64,106
0801907058,65-69,88
0801907058,70-74,92
0801907058,75-79,70
0801907058,80-84,38
0801907058,85-89,23
0801907058,90-94,12
0801907058,95-99,4
0801907058,100,0
0801907059,0-4,49
0801907059,5-9,46
0801907059,10-14,51
0801907059,15-19,58
0801907059,20-24,58
0801907059,25-29,79
0801907059,30-34,112
0801907059,35-39,114
0801907059,40-44,106
0801907059,45-49,107
0801907059,50-54,95
0801907059,55-59,94
0801907059,60-64,83
0801907059,65-69,61
0801907059,70-74,71
0801907059,75-79,58
0801907059,80-84,39
0801907059,85-89,35
0801907059,90-94,16
0801907059,95-99,7
0801907059,100,0
0801907060,0-4,54
0801907060,5-9,64
0801907060,10-14,76
0801907060,15-19,91
0801907060,20-24,99
0801907060,25-29,130
0801907060,30-34,152
0801907060,35-39,155
0801907060,40-44,152
0801907060,45-49,145
0801907060,50-54,150
0801907060,55-59,124
0801907060,60-64,122
0801907060,65-69,93
0801907060,70-74,82
0801907060,75-79,69
0801907060,80-84,63
0801907060,85-89,39
0801907060,90-94,20
0801907060,95-99,3
0801907060,100,0
0801907061,0-4,33
0801907061,5-9,50
0801907061,10-14,56
0801907061,15-19,79
0801907061,20-24,50
0801907061,25-29,46
0801907061,30-34,61
0801907061,35-39,63
0801907061,40-44,89
0801907061,45-49,100
0801907061,50-54,96
0801907061,55-59,73
0801907061,60-64,90
0801907061,65-69,68
0801907061,70-74,64
0801907061,75-79,71
0801907061,80-84,28
0801907061,85-89,33
0801907061,90-94,11
0801907061,95-99,5
0801907061,100,0
0801907062,0-4,48
0801907062,5-9,71
0801907062,10-14,63
0801907062,15-19,60
0801907062,20-24,59
0801907062,25-29,89
0801907062,30-34,83
0801907062,35-39,98
0801907062,40-44,117
0801907062,45-49,118
0801907062,50-54,87
0801907062,55-59,87
0801907062,60-64,89
0801907062,65-69,70
0801907062,70-74,69
0801907062,75-79,63
0801907062,80-84,30
0801907062,85-89,19
0801907062,90-94,10
0801907062,95-99,1
0801907062,100,0
0801907063,0-4,60
0801907063,5-9,66
0801907063,10-14,78
0801907063,15-19,74
0801907063,20-24,65
0801907063,25-29,87
0801907063,30-34,118
0801907063,35-39,81
0801907063,40-44,115
0801907063,45-49,117
0801907063,50-54,104
0801907063,55-59,104
0801907063,60-64,104
0801907063,65-69,75
0801907063,70-74,71
0801907063,75-79,78
0801907063,80-84,36
0801907063,85-89,27
0801907063,90-94,16
0801907063,95-99,4
0801907063,100,0
0801907064,0-4,54
0801907064,5-9,66
0801907064,10-14,83
0801907064,15-19,97
0801907064,20-24,89
0801907064,25-29,95
0801907064,30-34,131
0801907064,35-39,113
0801907064,40-44,147
0801907064,45-49,129
0801907064,50-54,131
0801907064,55-59,120
0801907064,60-64,92
0801907064,65-69,78
0801907064,70-74,81
0801907064,75-79,73
0801907064,80-84,64
0801907064,85-89,43
0801907064,90-94,16
0801907064,95-99,3
0801907064,100,1
0801907065,0-4,63
0801907065,5-9,75
0801907065,10-14,78
0801907065,15-19,84
0801907065,20-24,99
0801907065,25-29,122
0801907065,30-34,136
0801907065,35-39,127
0801907065,40-44,146
0801907065,45-49,144
0801907065,50-54,123
0801907065,55-59,105
0801907065,60-64,83
0801907065,65-69,89
0801907065,70-74,81
0801907065,75-79,62
0801907065,80-84,65
0801907065,85-89,32
0801907065,90-94,15
0801907065,95-99,3
0801907065,100,1
0801907066,0-4,68
0801907066,5-9,83
0801907066,10-14,86
0801907066,15-19,69
0801907066,20-24,79
0801907066,25-29,114
0801907066,30-34,157
0801907066,35-39,115
0801907066,40-44,148
0801907066,45-49,147
0801907066,50-54,123
0801907066,55-59,113
0801907066,60-64,112
0801907066,65-69,89
0801907066,70-74,66
0801907066,75-79,80
0801907066,80-84,67
0801907066,85-89,52
0801907066,90-94,18
0801907066,95-99,0
0801907066,100,2
0801907067,0-4,54
0801907067,5-9,67
0801907067,10-14,83
0801907067,15-19,77
0801907067,20-24,100
0801907067,25-29,122
0801907067,30-34,126
0801907067,35-39,99
0801907067,40-44,137
0801907067,45-49,133
0801907067,50-54,130
0801907067,55-59,109
0801907067,60-64,85
0801907067,65-69,54
0801907067,70-74,56
0801907067,75-79,65
0801907067,80-84,45
0801907067,85-89,42
0801907067,90-94,6
0801907067,95-99,4
0801907067,100,0
0801907068,0-4,35
0801907068,5-9,62
0801907068,10-14,59
0801907068,15-19,64
0801907068,20-24,73
0801907068,25-29,92
0801907068,30-34,89
0801907068,35-39,113
0801907068,40-44,104
0801907068,45-49,121
0801907068,50-54,87
0801907068,55-59,91
0801907068,60-64,65
0801907068,65-69,50
0801907068,70-74,55
0801907068,75-79,73
0801907068,80-84,43
0801907068,85-89,27
0801907068,90-94,13
0801907068,95-99,1
0801907068,100,0
0801907069,0-4,44
0801907069,5-9,57
0801907069,10-14,67
0801907069,15-19,46
0801907069,20-24,79
0801907069,25-29,117
0801907069,30-34,106
0801907069,35-39,86
0801907069,40-44,106
0801907069,45-49,114
0801907069,50-54,108
0801907069,55-59,106
0801907069,60-64,101
0801907069,65-69,51
0801907069,70-74,73
0801907069,75-79,78
0801907069,80-84,59
0801907069,85-89,33
0801907069,90-94,15
0801907069,95-99,4
0801907069,100,0
0801907070,0-4,40
0801907070,5-9,67
0801907070,10-14,57
0801907070,15-19,68
0801907070,20-24,89
0801907070,25-29,115
0801907070,30-34,89
0801907070,35-39,79
0801907070,40-44,118
0801907070,45-49,98
0801907070,50-54,106
